@relation AngelDaten-weka.filters.supervised.instance.Resample-B0.9-S1-Z100.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 0_wasser_temperatur numeric
@attribute 0_luft_temperatur numeric
@attribute 0_relative_luft_feuchte numeric
@attribute 0_boden_temperatur_5cm numeric
@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 0_boden_temperatur_100cm numeric
@attribute 0_wind_staerke numeric
@attribute 0_wind_richtung numeric
@attribute 0_sonnen_stunden numeric
@attribute 0_niederschlag_menge numeric
@attribute 1_wasser_temperatur numeric
@attribute 1_luft_temperatur numeric
@attribute 1_relative_luft_feuchte numeric
@attribute 1_boden_temperatur_5cm numeric
@attribute 1_boden_temperatur_10cm numeric
@attribute 1_boden_temperatur_20cm numeric
@attribute 1_boden_temperatur_50cm numeric
@attribute 1_boden_temperatur_100cm numeric
@attribute 1_wind_staerke numeric
@attribute 1_wind_richtung numeric
@attribute 1_sonnen_stunden numeric
@attribute 1_niederschlag_menge numeric
@attribute 2_wasser_temperatur numeric
@attribute 2_luft_temperatur numeric
@attribute 2_relative_luft_feuchte numeric
@attribute 2_boden_temperatur_5cm numeric
@attribute 2_boden_temperatur_10cm numeric
@attribute 2_boden_temperatur_20cm numeric
@attribute 2_boden_temperatur_50cm numeric
@attribute 2_boden_temperatur_100cm numeric
@attribute 2_wind_staerke numeric
@attribute 2_wind_richtung numeric
@attribute 2_sonnen_stunden numeric
@attribute 2_niederschlag_menge numeric
@attribute datum_monat_tag numeric
@attribute fangzeit_24_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.493902,0.143498,0.869565,0.230216,0.287879,0.418502,0.578035,0.546053,0.382353,0.225806,0,1,0.5625,0.45098,0.291667,0.422642,0.398438,0.442922,0.558659,0.551948,0.4,0.454545,0.013605,0.03125,0.636364,0.422727,0.142857,0.376426,0.393701,0.481481,0.572973,0.55414,0.673469,0,0.312925,0,0.35034,0,Karpfen
0.77439,0.578475,0.521739,0.579137,0.621212,0.713656,0.768786,0.697368,0.294118,0.677419,0.668966,0,0.725,0.356863,0.736111,0.471698,0.535156,0.643836,0.692737,0.694805,0.133333,0.818182,0.741497,0,0.74026,0.259091,0.985714,0.338403,0.417323,0.606481,0.718919,0.675159,0.142857,0.375,0.068027,0.933333,0.527211,0.716667,Karpfen
0.743902,0.713004,0.202899,0.672662,0.727273,0.784141,0.722543,0.539474,0.441176,0.064516,0.903448,0.613333,0.71875,0.541176,0.5,0.603774,0.65625,0.73516,0.648045,0.512987,0.266667,0.30303,0.755102,0,0.733766,0.540909,0.385714,0.653992,0.700787,0.75,0.578378,0.484076,0.183673,0.4375,0.952381,0,0.345238,0.55,Karpfen
0.841463,0.838565,0.173913,0.809353,0.867424,0.933921,0.884393,0.710526,0.647059,0.387097,0.993103,0,0.8125,0.611765,0.652778,0.754717,0.8125,0.885845,0.793296,0.688312,0.044444,0.666667,0.897959,0,0.824675,0.6,0.3,0.714829,0.775591,0.851852,0.740541,0.675159,0.020408,0.4375,1,0,0.491497,0.55,Karpfen
0.27439,0.318386,0.347826,0.165468,0.155303,0.202643,0.317919,0.289474,0.882353,0.580645,0.006897,0.04,0.34375,0.415686,0,0.30566,0.25,0.242009,0.301676,0.298701,0.666667,0.575758,0.877551,0,0.38961,0.240909,0.171429,0.273764,0.240157,0.259259,0.32973,0.299363,0.367347,0.46875,0.544218,0,0.180272,0.05,Karpfen
0.52439,0.269058,0.521739,0.226619,0.272727,0.405286,0.560694,0.467105,1,0.16129,0.117241,0.066667,0.625,0.407843,0.305556,0.320755,0.378906,0.502283,0.564246,0.454545,0.6,0.212121,0.557823,0,0.688312,0.268182,0.742857,0.372624,0.437008,0.564815,0.567568,0.433121,0.102041,0.40625,0.632653,0,0.328231,0.716667,Karpfen
0.743902,0.161435,0.536232,0.44964,0.534091,0.69163,0.815029,0.75,0.147059,0.451613,0.868966,0.013333,0.79375,0.278431,0.388889,0.415094,0.507812,0.684932,0.810056,0.746753,0.977778,0,0.319728,0,0.909091,0.295455,0.571429,0.486692,0.57874,0.768519,0.837838,0.726115,0.204082,0.0625,0.435374,0,0.506803,0.883333,Karpfen
0.682927,0.363229,0.753623,0.571942,0.662879,0.762115,0.739884,0.664474,0.088235,0.483871,1,0,0.69375,0.235294,0.5,0.418868,0.519531,0.666667,0.715084,0.655844,0.222222,0.69697,0.761905,0,0.75974,0.195455,0.971429,0.43346,0.559055,0.75,0.735135,0.636943,0.428571,0.53125,0.578231,0.16,0.488095,0.666667,Karpfen
0.878049,0.38565,1,0.514388,0.659091,0.863436,1,0.993421,0.441176,0.419355,0.586207,0.426667,0.9125,0.501961,0.625,0.611321,0.691406,0.853881,0.977654,1,0,0.545455,0.517007,0,1,0.545455,0.514286,0.718631,0.80315,0.944444,0.972973,0.993631,0.22449,0.125,0.489796,0,0.821429,0.5,Karpfen
0.646341,0.300448,0.492754,0.438849,0.496212,0.621145,0.745665,0.677632,0.5,0.903226,0.531034,0,0.7,0.337255,0.819444,0.449057,0.523438,0.666667,0.743017,0.668831,0.422222,0.30303,0.489796,0.21875,0.792208,0.422727,0.828571,0.547529,0.606299,0.722222,0.724324,0.649682,0,0.34375,0.823129,0,0.493197,0.716667,Karpfen
