@relation AngelDaten-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F1-S3-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S4-weka.filters.supervised.instance.Resample-B1.0-S10-Z100.0-no-replacement

@attribute datum_tag numeric
@attribute uhrzeit_stunden numeric
@attribute wasser_temperatur numeric
@attribute luft_temperatur numeric
@attribute luft_feuchtigkeit numeric
@attribute boden_temperatur numeric
@attribute wind_staerke numeric
@attribute wind_richtung numeric
@attribute sonnen_stunden numeric
@attribute niederschlags_menge numeric
@attribute class {Karpfen_Brachse,Forelle_Hecht,Barbe,Aal}

@data
0.515306,0.716667,0.585366,0.6,0.681159,0.633562,0.214286,0.129032,0.689655,0.133333,Karpfen_Brachse
0.321429,0.666667,0.47561,0.216667,0.57971,0.30137,0.071429,0.354839,0.572414,0,Karpfen_Brachse
0.180272,0.05,0.27439,0.345833,0.347826,0.157534,0.714286,0.580645,0.006897,0.04,Karpfen_Brachse
0.488095,0.666667,0.682927,0.3875,0.753623,0.544521,0.071429,0.483871,1,0,Karpfen_Brachse
0.491497,0.55,0.841463,0.829167,0.173913,0.770548,0.52381,0.387097,0.993103,0,Karpfen_Brachse
0.870748,0.716667,0.786585,0.2,0.884058,0.462329,0.095238,0.354839,0.841379,0,Karpfen_Brachse
0.527211,0.716667,0.77439,0.5875,0.521739,0.55137,0.238095,0.677419,0.668966,0,Karpfen_Brachse
0.819728,0.333333,0.859756,0.6,0.362319,0.623288,0.238095,0.483871,0.510345,0,Karpfen_Brachse
0.493197,0.716667,0.646341,0.329167,0.492754,0.417808,0.404762,0.903226,0.531034,0,Karpfen_Brachse
0.506803,0.666667,0.768293,0.333333,0.550725,0.472603,0.738095,0.322581,0.572414,0,Karpfen_Brachse
0.329932,0.666667,0.597561,0.2625,0.637681,0.332192,0.166667,0.903226,0.703448,0.026667,Karpfen_Brachse
0.52381,0.716667,0.72561,0.379167,0.594203,0.547945,0.166667,0.483871,0.613793,0,Karpfen_Brachse
0.658163,0.833333,0.865854,0.475,0.681159,0.609589,0.285714,0.483871,0.827586,0,Karpfen_Brachse
0.346939,0.55,0.512195,0.3625,0.246377,0.273973,0.666667,0,0.303448,0,Karpfen_Brachse
0.158163,0.333333,0.341463,0.3125,0.318841,0.263699,0.309524,0.483871,0.365517,0,Forelle_Hecht
0,0.333333,0,0.208333,0,0,0.52381,0,0.737931,0,Forelle_Hecht
0.319728,0.716667,0.463415,0.416667,0.101449,0.30137,0.642857,0.193548,0.944828,0,Forelle_Hecht
0.14966,0.333333,0.396341,0.3875,0.405797,0.297945,0.309524,0.580645,0.606897,0,Forelle_Hecht
0.352041,0.716667,0.554878,0.254167,0.753623,0.393836,0.142857,0.064516,0.813793,0,Forelle_Hecht
1,0.716667,0.707317,0.270833,0.956522,0.366438,0.071429,0.580645,0.813793,0,Forelle_Hecht
0.346939,0.666667,0.506098,0.320833,0.362319,0.253425,0.52381,0,0.303448,0,Forelle_Hecht
0.158163,0,0.335366,0.3375,0.217391,0.308219,0.166667,0.322581,0.365517,0,Forelle_Hecht
0.486395,0.833333,0.640244,0.05,0.811594,0.315068,0.119048,0.354839,0.758621,0,Barbe
0.316327,0.716667,0.353659,0.225,0.42029,0.212329,0.571429,0.322581,0.731034,0,Barbe
0.346939,0.716667,0.506098,0.320833,0.362319,0.253425,0.52381,0,0.303448,0,Barbe
0.329932,0.716667,0.597561,0.2625,0.637681,0.332192,0.166667,0.903226,0.703448,0.026667,Barbe
0.486395,0.833333,0.640244,0.05,0.811594,0.315068,0.119048,0.354839,0.758621,0,Barbe
0.833333,0.833333,0.670732,0.283333,0.594203,0.267123,0.095238,1,0.165517,0.386667,Barbe
0.863946,0.9,0.853659,0.2875,0.942029,0.503425,0.047619,0.354839,0.862069,0,Aal
0.656463,0.833333,0.786585,0.466667,0.608696,0.44863,0.452381,0.741935,0.124138,0.026667,Aal
0.656463,1,0.780488,0.441667,0.652174,0.424658,0.333333,0.645161,0.124138,0.026667,Aal
0.823129,0.883333,0.859756,0.345833,0.913043,0.34589,0.119048,0.677419,0.2,0.386667,Aal
