@relation AngelDaten-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F1-S3-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S4

@attribute datum_tag numeric
@attribute uhrzeit_stunden numeric
@attribute wasser_temperatur numeric
@attribute luft_temperatur numeric
@attribute luft_feuchtigkeit numeric
@attribute boden_temperatur numeric
@attribute wind_staerke numeric
@attribute wind_richtung numeric
@attribute sonnen_stunden numeric
@attribute niederschlags_menge numeric
@attribute class {Karpfen_Brachse,Forelle_Hecht,Barbe,Aal}

@data
0.319728,0.716667,0.463415,0.416667,0.101449,0.30137,0.642857,0.193548,0.944828,0,Karpfen_Brachse
0.181973,0.05,0.353659,0.479167,0.15942,0.294521,0.690476,0.709677,0.317241,0.08,Karpfen_Brachse
0.180272,0.05,0.27439,0.345833,0.347826,0.157534,0.714286,0.580645,0.006897,0.04,Karpfen_Brachse
0,0.333333,0,0.208333,0,0,0.52381,0,0.737931,0,Forelle_Hecht
0.319728,0.716667,0.463415,0.416667,0.101449,0.30137,0.642857,0.193548,0.944828,0,Forelle_Hecht
0.321429,0.666667,0.47561,0.216667,0.57971,0.30137,0.071429,0.354839,0.572414,0,Karpfen_Brachse
0.328231,0.716667,0.52439,0.3,0.521739,0.215753,0.809524,0.16129,0.117241,0.066667,Karpfen_Brachse
0.329932,0.666667,0.597561,0.2625,0.637681,0.332192,0.166667,0.903226,0.703448,0.026667,Karpfen_Brachse
0.329932,0.716667,0.597561,0.2625,0.637681,0.332192,0.166667,0.903226,0.703448,0.026667,Barbe
0.335034,0.716667,0.384146,0,0.347826,0.085616,0.428571,0.83871,0.075862,0.04,Karpfen_Brachse
0.346939,0.666667,0.506098,0.320833,0.362319,0.253425,0.52381,0,0.303448,0,Forelle_Hecht
0.352041,0.716667,0.554878,0.254167,0.753623,0.393836,0.142857,0.064516,0.813793,0,Forelle_Hecht
0.493197,0.716667,0.646341,0.329167,0.492754,0.417808,0.404762,0.903226,0.531034,0,Karpfen_Brachse
0.515306,0.716667,0.585366,0.6,0.681159,0.633562,0.214286,0.129032,0.689655,0.133333,Karpfen_Brachse
0.346939,0.716667,0.506098,0.320833,0.362319,0.253425,0.52381,0,0.303448,0,Barbe
0.346939,0.55,0.512195,0.3625,0.246377,0.273973,0.666667,0,0.303448,0,Karpfen_Brachse
0.333333,0.5,0.615854,0.35,0.115942,0.393836,1,0.032258,0.648276,0,Karpfen_Brachse
0.35034,0,0.493902,0.183333,0.869565,0.219178,0.309524,0.225806,0,1,Karpfen_Brachse
0.5,0.866667,0.762195,0.420833,0.608696,0.44863,0.52381,0.870968,0.489655,0,Karpfen_Brachse
0.506803,0.716667,0.743902,0.325,0.275362,0.472603,0.357143,0.806452,0.868966,0.013333,Karpfen_Brachse
0.506803,0.883333,0.743902,0.2,0.536232,0.428082,0.119048,0.451613,0.868966,0.013333,Karpfen_Brachse
0.522109,1,0.609756,0.320833,0.927536,0.369863,0,0.354839,0.427586,0.026667,Karpfen_Brachse
0.527211,0.716667,0.77439,0.5875,0.521739,0.55137,0.238095,0.677419,0.668966,0,Karpfen_Brachse
0.316327,0.716667,0.353659,0.225,0.42029,0.212329,0.571429,0.322581,0.731034,0,Barbe
0.833333,0.716667,0.676829,0.216667,0.869565,0.297945,0.119048,0.741935,0.165517,0.386667,Karpfen_Brachse
0.833333,0.833333,0.670732,0.283333,0.594203,0.267123,0.095238,1,0.165517,0.386667,Barbe
0.858844,0.716667,0.792683,0.3375,0.884058,0.513699,0.190476,0.322581,0.868966,0,Karpfen_Brachse
0.862245,0.716667,0.823171,0.4125,0.913043,0.568493,0.095238,0.387097,0.868966,0,Karpfen_Brachse
0.863946,0.833333,0.853659,0.2875,0.942029,0.503425,0.047619,0.354839,0.862069,0,Karpfen_Brachse
0.863946,0.9,0.853659,0.2875,0.942029,0.503425,0.047619,0.354839,0.862069,0,Aal
0.870748,0.716667,0.786585,0.2,0.884058,0.462329,0.095238,0.354839,0.841379,0,Karpfen_Brachse
0.870748,0.833333,0.780488,0.1375,0.927536,0.400685,0.047619,0.258065,0.841379,0,Karpfen_Brachse
0.989796,0.716667,0.77439,0.291667,0.782609,0.431507,0.190476,0.677419,0.558621,0,Karpfen_Brachse
1,0.716667,0.707317,0.270833,0.956522,0.366438,0.071429,0.580645,0.813793,0,Forelle_Hecht
0.158163,0,0.335366,0.3375,0.217391,0.308219,0.166667,0.322581,0.365517,0,Forelle_Hecht
0.158163,0.333333,0.341463,0.3125,0.318841,0.263699,0.309524,0.483871,0.365517,0,Forelle_Hecht
0.14966,0.333333,0.396341,0.3875,0.405797,0.297945,0.309524,0.580645,0.606897,0,Forelle_Hecht
0.176871,0.691667,0.408537,0.154167,0.652174,0.270548,0.333333,0.032258,0.882759,0,Karpfen_Brachse
0.345238,0.55,0.743902,0.7125,0.202899,0.640411,0.357143,0.064516,0.903448,0.613333,Karpfen_Brachse
0.488095,0.5,0.689024,0.583333,0.275362,0.619863,0.047619,0.483871,1,0,Karpfen_Brachse
0.488095,0.666667,0.682927,0.3875,0.753623,0.544521,0.071429,0.483871,1,0,Karpfen_Brachse
0.486395,0.833333,0.640244,0.05,0.811594,0.315068,0.119048,0.354839,0.758621,0,Barbe
0.486395,0.833333,0.640244,0.05,0.811594,0.315068,0.119048,0.354839,0.758621,0,Barbe
0.491497,0.55,0.841463,0.829167,0.173913,0.770548,0.52381,0.387097,0.993103,0,Karpfen_Brachse
0.493197,0.833333,0.902439,0.458333,0.797101,0.657534,0.095238,0.387097,1,0,Karpfen_Brachse
0.494898,0.05,0.981707,1,0.086957,1,0.214286,0.677419,0.944828,0,Karpfen_Brachse
0.494898,0.191667,1,0.979167,0.101449,0.952055,0.357143,1,0.944828,0,Karpfen_Brachse
0.506803,0.666667,0.768293,0.333333,0.550725,0.472603,0.738095,0.322581,0.572414,0,Karpfen_Brachse
0.52381,0.716667,0.72561,0.379167,0.594203,0.547945,0.166667,0.483871,0.613793,0,Karpfen_Brachse
0.656463,0.833333,0.786585,0.466667,0.608696,0.44863,0.452381,0.741935,0.124138,0.026667,Aal
0.656463,1,0.780488,0.441667,0.652174,0.424658,0.333333,0.645161,0.124138,0.026667,Aal
0.658163,0.833333,0.865854,0.475,0.681159,0.609589,0.285714,0.483871,0.827586,0,Karpfen_Brachse
0.819728,0.333333,0.859756,0.6,0.362319,0.623288,0.238095,0.483871,0.510345,0,Karpfen_Brachse
0.819728,0.366667,0.859756,0.6,0.362319,0.623288,0.238095,0.483871,0.510345,0,Karpfen_Brachse
0.821429,0.5,0.878049,0.408333,1,0.489726,0.357143,0.419355,0.586207,0.426667,Karpfen_Brachse
0.823129,0.883333,0.859756,0.345833,0.913043,0.34589,0.119048,0.677419,0.2,0.386667,Aal
