@relation 'AngelDaten-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R1,5,7-8-weka.filters.unsupervised.attribute.Remove-R1'

@attribute wasser_temperatur numeric
@attribute luft_temperatur numeric
@attribute boden_temperatur numeric
@attribute sonnen_stunden numeric
@attribute niederschlags_menge numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.463415,0.416667,0.30137,0.944828,0,Karpfen
0.353659,0.479167,0.294521,0.317241,0.08,Karpfen
0.27439,0.345833,0.157534,0.006897,0.04,Karpfen
0,0.208333,0,0.737931,0,Forelle
0.463415,0.416667,0.30137,0.944828,0,Forelle
0.47561,0.216667,0.30137,0.572414,0,Karpfen
0.52439,0.3,0.215753,0.117241,0.066667,Karpfen
0.597561,0.2625,0.332192,0.703448,0.026667,Brachse
0.597561,0.2625,0.332192,0.703448,0.026667,Barbe
0.384146,0,0.085616,0.075862,0.04,Karpfen
0.506098,0.320833,0.253425,0.303448,0,Forelle
0.554878,0.254167,0.393836,0.813793,0,Forelle
0.646341,0.329167,0.417808,0.531034,0,Karpfen
0.585366,0.6,0.633562,0.689655,0.133333,Brachse
0.506098,0.320833,0.253425,0.303448,0,Barbe
0.512195,0.3625,0.273973,0.303448,0,Karpfen
0.615854,0.35,0.393836,0.648276,0,Karpfen
0.493902,0.183333,0.219178,0,1,Karpfen
0.762195,0.420833,0.44863,0.489655,0,Karpfen
0.743902,0.325,0.472603,0.868966,0.013333,Karpfen
0.743902,0.2,0.428082,0.868966,0.013333,Karpfen
0.609756,0.320833,0.369863,0.427586,0.026667,Brachse
0.77439,0.5875,0.55137,0.668966,0,Karpfen
0.353659,0.225,0.212329,0.731034,0,Barbe
0.676829,0.216667,0.297945,0.165517,0.386667,Karpfen
0.670732,0.283333,0.267123,0.165517,0.386667,Barbe
0.792683,0.3375,0.513699,0.868966,0,Karpfen
0.823171,0.4125,0.568493,0.868966,0,Karpfen
0.853659,0.2875,0.503425,0.862069,0,Karpfen
0.853659,0.2875,0.503425,0.862069,0,Aal
0.786585,0.2,0.462329,0.841379,0,Karpfen
0.780488,0.1375,0.400685,0.841379,0,Karpfen
0.77439,0.291667,0.431507,0.558621,0,Karpfen
0.707317,0.270833,0.366438,0.813793,0,Hecht
0.335366,0.3375,0.308219,0.365517,0,Hecht
0.341463,0.3125,0.263699,0.365517,0,Hecht
0.396341,0.3875,0.297945,0.606897,0,Forelle
0.408537,0.154167,0.270548,0.882759,0,Karpfen
0.743902,0.7125,0.640411,0.903448,0.613333,Karpfen
0.689024,0.583333,0.619863,1,0,Karpfen
0.682927,0.3875,0.544521,1,0,Karpfen
0.640244,0.05,0.315068,0.758621,0,Barbe
0.640244,0.05,0.315068,0.758621,0,Barbe
0.841463,0.829167,0.770548,0.993103,0,Karpfen
0.902439,0.458333,0.657534,1,0,Brachse
0.981707,1,1,0.944828,0,Karpfen
1,0.979167,0.952055,0.944828,0,Brachse
0.768293,0.333333,0.472603,0.572414,0,Karpfen
0.72561,0.379167,0.547945,0.613793,0,Karpfen
0.786585,0.466667,0.44863,0.124138,0.026667,Aal
0.780488,0.441667,0.424658,0.124138,0.026667,Aal
0.865854,0.475,0.609589,0.827586,0,Brachse
0.859756,0.6,0.623288,0.510345,0,Brachse
0.859756,0.6,0.623288,0.510345,0,Brachse
0.878049,0.408333,0.489726,0.586207,0.426667,Karpfen
0.859756,0.345833,0.34589,0.2,0.386667,Aal
