@relation AngelDaten-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Standardize

@attribute 0_wasser_temperatur numeric
@attribute 0_luft_temperatur numeric
@attribute 0_relative_luft_feuchte numeric
@attribute 0_boden_temperatur_5cm numeric
@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 0_boden_temperatur_100cm numeric
@attribute 0_wind_staerke numeric
@attribute 0_wind_richtung numeric
@attribute 0_sonnen_stunden numeric
@attribute 0_niederschlag_menge numeric
@attribute datum_monat_tag numeric
@attribute fangzeit_24_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
-1.071736,0.248397,-1.797431,-0.692228,-0.81647,-0.980546,-1.294735,-1.537083,1.532943,-0.952135,1.141333,-0.343869,-0.902871,0.197379,Karpfen
-1.606366,0.594105,-1.586227,-0.732422,-1.326409,-1.77694,-1.754706,-1.712936,1.741783,0.996105,-1.083604,-0.147112,-1.461608,-2.329074,Karpfen
-1.992488,-0.143405,-0.899815,-1.536299,-1.917939,-2.099802,-1.805814,-1.742244,1.846203,0.509045,-2.183848,-0.24549,-1.468506,-2.329074,Karpfen
-3.329064,-0.903962,-2.167037,-2.460758,-2.75424,-3.089914,-3.211283,-3.031831,1.010843,-1.682725,0.407837,-0.343869,-2.199693,-1.255331,Forelle
-1.071736,0.248397,-1.797431,-0.692228,-0.81647,-0.980546,-1.294735,-1.537083,1.532943,-0.952135,1.141333,-0.343869,-0.902871,0.197379,Forelle
-1.012333,-0.857868,-0.055001,-0.692228,-0.836867,-1.023594,-1.192519,-1.214686,-0.973136,-0.34331,-0.178959,-0.343869,-0.895973,0.007895,Karpfen
-0.774719,-0.396924,-0.266205,-1.194651,-1.285614,-1.109691,-0.732547,-0.950907,2.263883,-1.0739,-1.79265,-0.179905,-0.868381,0.197379,Karpfen
-0.418299,-0.604349,0.156203,-0.511355,-0.571699,-0.614635,-0.706993,-0.950907,-0.555456,1.726695,0.285588,-0.278283,-0.861483,0.007895,Brachse
-0.418299,-0.604349,0.156203,-0.511355,-0.571699,-0.614635,-0.706993,-0.950907,-0.555456,1.726695,0.285588,-0.278283,-0.861483,0.197379,Barbe
-1.457858,-2.056321,-0.899815,-1.958335,-1.958734,-1.798464,-1.320289,-0.921598,0.593163,1.483165,-1.93935,-0.24549,-0.840789,0.197379,Karpfen
-0.863824,-0.281688,-0.847014,-0.973585,-1.081638,-1.00207,-0.758101,-0.628511,1.010843,-1.682725,-1.132504,-0.343869,-0.792503,0.007895,Forelle
-0.626211,-0.650443,0.57861,-0.149611,-0.347325,-0.679207,-1.039195,-0.804363,-0.659876,-1.439195,0.676786,-0.343869,-0.771809,0.197379,Forelle
-0.180685,-0.235593,-0.371806,-0.008932,-0.082157,-0.055006,0.08518,-0.013026,0.488743,1.726695,-0.325659,-0.343869,-0.199275,0.197379,Karpfen
-0.477702,1.262474,0.314605,1.257175,1.019312,0.612243,0.161842,0.104209,-0.346616,-1.195665,0.236688,-0.015941,-0.109601,0.197379,Brachse
-0.863824,-0.281688,-0.847014,-0.973585,-1.081638,-1.00207,-0.758101,-0.628511,1.010843,-1.682725,-1.132504,-0.343869,-0.792503,0.197379,Barbe
-0.834122,-0.051216,-1.269422,-0.853003,-1.000048,-1.00207,-0.758101,-0.628511,1.637363,-1.682725,-1.132504,-0.343869,-0.792503,-0.434234,Karpfen
-0.329194,-0.120358,-1.74463,-0.149611,-0.30653,-0.507014,-0.553669,-0.775055,3.099243,-1.56096,0.089989,-0.343869,-0.847687,-0.623718,Karpfen
-0.923227,-1.042245,1.001017,-1.174554,-1.204024,-1.045118,-0.655885,-0.599202,0.071064,-0.83037,-2.208298,2.11559,-0.778707,-2.518558,Karpfen
0.383647,0.271445,0.050601,0.17194,0.142216,0.203284,0.21295,-0.042335,1.010843,1.60493,-0.472358,-0.343869,-0.171683,0.765831,Karpfen
