
@RELATION AngelDaten
@ATTRIBUTE 0_wasser_temperatur NUMERIC
@ATTRIBUTE 0_luft_temperatur NUMERIC
@ATTRIBUTE 0_relative_luft_feuchte NUMERIC
@ATTRIBUTE 0_boden_temperatur_5cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_10cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_20cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_50cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_100cm NUMERIC
@ATTRIBUTE 0_wind_staerke NUMERIC
@ATTRIBUTE 0_wind_richtung NUMERIC
@ATTRIBUTE 0_sonnen_stunden NUMERIC
@ATTRIBUTE 0_niederschlag_menge NUMERIC
@ATTRIBUTE datum_monat_tag NUMERIC
@ATTRIBUTE fangzeit_24_stunden NUMERIC
@ATTRIBUTE class {Karpfen, Forelle, Brachse, Barbe, Hecht, Aal}

@DATA
15.6,19.4,36.0,20.3,20.3,18.3,13.9,11.0,3.2,80.0,13.9,0.0,507,1930,Karpfen
13.8,20.9,40.0,20.1,17.8,14.6,12.1,10.4,3.4,240.0,4.8,0.6,426,1530,Karpfen
12.5,17.7,53.0,16.1,14.9,13.1,11.9,10.3,3.5,200.0,0.3,0.3,425,1530,Karpfen
8.0,14.4,29.0,11.5,10.8,8.5,6.4,5.9,2.7,20.0,10.9,0.0,319,1700,Forelle
15.6,19.4,36.0,20.3,20.3,18.3,13.9,11.0,3.2,80.0,13.9,0.0,507,1930,Forelle
15.8,14.6,69.0,20.3,20.2,18.1,14.3,12.1,0.8,130.0,8.5,0.0,508,1900,Karpfen
16.6,16.6,65.0,17.8,18.0,17.7,16.1,13.0,3.9,70.0,1.9,0.5,512,1930,Karpfen
17.8,15.7,73.0,21.2,21.5,20.0,16.2,13.0,1.2,300.0,10.4,0.2,513,1900,Brachse
17.8,15.7,73.0,21.2,21.5,20.0,16.2,13.0,1.2,300.0,10.4,0.2,513,1930,Barbe
14.3,9.4,53.0,14.0,14.7,14.5,13.8,13.1,2.3,280.0,1.3,0.3,516,1930,Karpfen
16.3,17.1,54.0,18.9,19.0,18.2,16.0,14.1,2.7,20.0,4.6,0.0,523,1900,Forelle
17.1,15.5,81.0,23.0,22.6,19.7,14.9,13.5,1.1,40.0,12.0,0.0,526,1930,Forelle
18.6,17.3,63.0,23.7,23.9,22.6,19.3,16.2,2.2,300.0,7.9,0.0,609,1930,Karpfen
17.6,23.8,76.0,30.0,29.3,25.7,19.6,16.6,1.4,60.0,10.2,1.0,622,1930,Brachse
