@relation 'AngelDaten-weka.filters.supervised.instance.Resample-B0.9-S1-Z100.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R15,20-24,26-27,33,36-38-weka.filters.unsupervised.attribute.Remove-R1-4,8-13,16-17,21-22,24-25'

@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 1_luft_temperatur numeric
@attribute 1_boden_temperatur_5cm numeric
@attribute 1_boden_temperatur_50cm numeric
@attribute 2_wasser_temperatur numeric
@attribute 2_boden_temperatur_5cm numeric
@attribute 2_boden_temperatur_50cm numeric
@attribute 2_sonnen_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.287879,0.418502,0.578035,0.45098,0.422642,0.558659,0.636364,0.376426,0.572973,0.312925,Karpfen
0.621212,0.713656,0.768786,0.356863,0.471698,0.692737,0.74026,0.338403,0.718919,0.068027,Karpfen
0.727273,0.784141,0.722543,0.541176,0.603774,0.648045,0.733766,0.653992,0.578378,0.952381,Karpfen
0.867424,0.933921,0.884393,0.611765,0.754717,0.793296,0.824675,0.714829,0.740541,1,Karpfen
0.155303,0.202643,0.317919,0.415686,0.30566,0.301676,0.38961,0.273764,0.32973,0.544218,Karpfen
0.272727,0.405286,0.560694,0.407843,0.320755,0.564246,0.688312,0.372624,0.567568,0.632653,Karpfen
0.534091,0.69163,0.815029,0.278431,0.415094,0.810056,0.909091,0.486692,0.837838,0.435374,Karpfen
0.662879,0.762115,0.739884,0.235294,0.418868,0.715084,0.75974,0.43346,0.735135,0.578231,Karpfen
0.659091,0.863436,1,0.501961,0.611321,0.977654,1,0.718631,0.972973,0.489796,Karpfen
0.496212,0.621145,0.745665,0.337255,0.449057,0.743017,0.792208,0.547529,0.724324,0.823129,Karpfen
0.643939,0.779736,0.855491,0.313725,0.475472,0.810056,0.824675,0.425856,0.805405,0.346939,Karpfen
0.310606,0.427313,0.554913,0.301961,0.328302,0.536313,0.62987,0.292776,0.556757,0.591837,Forelle
0.359848,0.431718,0.433526,0.317647,0.316981,0.385475,0.467532,0.262357,0.372973,0.734694,Forelle
0,0,0,0.290196,0,0,0,0,0,0.612245,Forelle
0.329545,0.356828,0.346821,0.333333,0.241509,0.318436,0.428571,0.224335,0.335135,0,Forelle
0.44697,0.493392,0.491329,0.207843,0.116981,0.47486,0.571429,0.117871,0.540541,0,Forelle
0.806818,0.977974,0.976879,0.45098,0.671698,0.893855,0.88961,0.642586,0.837838,0.897959,Brachse
0.75,0.9163,0.971098,0.486275,0.483019,0.921788,0.948052,0.623574,0.924324,0.727891,Brachse
0.458333,0.599119,0.676301,0.196078,0.343396,0.603352,0.584416,0.212928,0.578378,0.333333,Brachse
0.700758,0.757709,0.763006,0.454902,0.464151,0.703911,0.616883,0.501901,0.686486,0.605442,Brachse
1,1,0.99422,1,1,0.921788,1,1,0.87027,0.993197,Brachse
0.704545,0.819383,0.988439,0.647059,0.74717,0.955307,0.993506,0.593156,0.972973,0.061224,Brachse
0.405303,0.506608,0.566474,0.505882,0.384906,0.52514,0.642857,0.368821,0.524324,0.857143,Brachse
0.704545,0.819383,0.988439,0.647059,0.74717,0.955307,0.993506,0.593156,0.972973,0.061224,Brachse
0.310606,0.427313,0.554913,0.301961,0.328302,0.536313,0.62987,0.292776,0.556757,0.591837,Barbe
0.405303,0.506608,0.566474,0.505882,0.384906,0.52514,0.642857,0.368821,0.524324,0.857143,Barbe
0.382576,0.585903,0.843931,0.290196,0.437736,0.837989,0.837662,0.490494,0.816216,0.911565,Barbe
0.454545,0.634361,0.728324,0.239216,0.343396,0.72067,0.720779,0.39924,0.708108,0.77551,Barbe
0.454545,0.634361,0.728324,0.239216,0.343396,0.72067,0.720779,0.39924,0.708108,0.77551,Barbe
0.261364,0.321586,0.33526,0,0.135849,0.318436,0.376623,0.098859,0.340541,0.408163,Barbe
0.488636,0.638767,0.768786,0.188235,0.29434,0.75419,0.792208,0.247148,0.805405,0.054422,Hecht
0.284091,0.303965,0.306358,0.188235,0.184906,0.290503,0.383117,0.057034,0.335135,0.006803,Hecht
0.299242,0.277533,0.294798,0.282353,0.309434,0.284916,0.383117,0.072243,0.335135,0.006803,Hecht
0.473485,0.704846,0.976879,0.384314,0.433962,1,0.993506,0.536122,1,0.517007,Aal
0.556818,0.744493,0.936416,0.4,0.581132,0.910615,0.88961,0.585551,0.87027,0.959184,Aal
0.534091,0.731278,0.942197,0.384314,0.539623,0.921788,0.883117,0.513308,0.881081,0.959184,Aal
0.655303,0.845815,0.959538,0.364706,0.539623,0.910615,0.948052,0.539924,0.902703,0.870748,Aal
